Line	Reads	Reads_after_fastp	Reads_final	Coverage
CA1100L101	149086984	146500784	120343504	174.418
CA1100L15	219983892	216529744	160842411	231.343
CA1100L23	80436554	78506050	59202321	86.7842
CA1100L25	167498010	165103070	121859175	181.483
CA1100L31	222926168	217119982	162666605	237.798
CA1100L3	32444644	31333684	22152549	33.1649
CA1100L52	58555126	56261498	39508137	59.0364
CA1100L53	4002318	3847378	2805597	4.43351
CA1100L56	48686278	47823182	41060829	60.9459
CA1100L66	53214626	52370494	42247567	61.9931
CA1100L6	39161372	38213600	30510143	45.6384
CA1100L81	142416288	139732570	128661762	177.762
CA1100L95	118792156	116263778	97218709	142.469
CA1100L97	116639164	114554620	73550194	108.682
CA1100L9	59237002	58622304	47108255	64.84
CA2100L10	84440672	83861390	72305236	104.631
CA2100L14	141357324	138026346	120719437	175.747
CA2100L26	55659286	54713418	45717257	67.3402
CA2100L27	137503976	133073746	117420388	167.646
CA2100L28	192451792	188993710	149996211	219.136
CA2100L2	56235490	55302740	48327759	71.0669
CA2100L33	86620894	85761914	69304220	101.152
CA2100L39	49185420	48615410	43048126	61.62
CA2100L40	61803438	61249314	49930616	72.693
CA2100L44	75653506	74486486	65558248	96.3193
CA2100L4	61346128	60381202	53557216	78.2238
CA2100L80	59040322	57399674	37979562	56.2082
CA2100L82	56301538	55214246	44064848	65.2982
CA2100L88	150170154	147558360	131590306	188.567
CA2100L8	33920726	33006424	23502431	35.4505
CA2100L9	79909250	78829654	66245025	97.2277
CA2100L119	150809820	147547570	132162877	190.591
A6140L15	235452900	232612840	205076640	299.236
A6140L41	98523578	96254336	64584674	94.5471
A6140L109	57467904	56799678	50823654	72.7914
A6140L309	144872952	138847350	123714939	179.947
A6140L102	5936196	5592384	4999274	7.6234
A6140L25	69790554	68844702	60493747	87.6149
A6140L177	47349416	46581768	41834664	62.2881
A6140L22	38324172	37283364	33477173	49.6701
A6140L4	119748648	118027282	106347954	156.644
